"","CaseID","Country","StartYear","EndYear","Startmonth","Endmonth","Designation of the Event(s)","Public Health Activities","Children","Mothers_women","Others","Target Population(s)","Polio","Measles","Diphtheria","Pertussis","Tetanus","Cholera","Rubella","Other","Target Public Health Issue(s)","Parties Involved","UN_involved","UCDP_conflict","UCDP2","UCDP3","ISO3","cases","gwno","Startdate","Enddate"
"51","51","Sri Lanka","1996","1996","10","10","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","1996-10-01","1996-10-28"
"52","52","Sri Lanka","1997","1997","9","9","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","1997-09-01","1997-09-28"
"53","53","Sri Lanka","1997","1997","10","10","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","1997-10-01","1997-10-28"
"54","54","Sri Lanka","1998","1998","9","9","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","1998-09-01","1998-09-28"
"55","55","Sri Lanka","1998","1998","10","10","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","1998-10-01","1998-10-28"
"56","56","Sri Lanka","1999","1999","9","9","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","1999-09-01","1999-09-28"
"57","57","Sri Lanka","1999","1999","10","10","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","1999-10-01","1999-10-28"
"58","58","Sri Lanka","2000","2000","10","10","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","2000-10-01","2000-10-28"
"59","59","Sri Lanka","2000","2000","12","12","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","2000-12-01","2000-12-28"
"60","60","Sri Lanka","2001","2001","9","9","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","2001-09-01","2001-09-28"
"61","61","Sri Lanka","2001","2001","10","10","Days of Tranquillity/Corridor of Peace","Vaccination Campaign","1","0","0","Children","1","0","0","0","0","0","0","0","Polio","Government of Sri Lanka, LTTE, UNICEF, Rotary International","1","352","NA","NA","LKA","1","780","2001-10-01","2001-10-28"
